branch,name,slug,cid,parent,nest
Artificial Intelligence Software,Active Learning Tools,/categories/active-learning-tools,1007277,Artificial Intelligence Software,0
Artificial Intelligence Software,Agentic AI Software,/categories/agentic-ai,1010686,Artificial Intelligence Software,0
Artificial Intelligence Software,AI Agent Builders Software,/categories/ai-agent-builders,1009956,Agentic AI Software,1
Artificial Intelligence Software,AI Agents,/categories/ai-agents,1010752,Agentic AI Software,1
Artificial Intelligence Software,AI Agent Integration Tools Platforms Software,/categories/ai-agent-integration-tools-platforms,1014781,AI Agents,1
Artificial Intelligence Software,AI Agents For Business Operations,/categories/ai-agents-for-business-operations,2437,AI Agents,1
Artificial Intelligence Software,AI Agents for HR Software,/categories/ai-agents-for-hr,1011710,AI Agents,1
Artificial Intelligence Software,AI Customer Support Agents Software,/categories/ai-customer-support-agents,1010618,AI Agents,1
Artificial Intelligence Software,AI IT Agents Software,/categories/ai-it-agents,1010619,AI Agents,1
Artificial Intelligence Software,AI Marketing Agents Software,/categories/ai-marketing-agents,1014023,AI Agents,1
Artificial Intelligence Software,AI SDRs Software,/categories/ai-sdrs,1010620,AI Agents,1
Artificial Intelligence Software,Conversational Interface Agents Software,/categories/conversational-interface-agents,1013461,AI Agents,1
Artificial Intelligence Software,AI Avatar Generators,/categories/ai-avatar-generators,1010951,Artificial Intelligence Software,0
Artificial Intelligence Software,AI Gateways Software,/categories/ai-gateways,1013361,Artificial Intelligence Software,0
Artificial Intelligence Software,AI Governance Tools,/categories/ai-governance-tools,1009691,Artificial Intelligence Software,0
Artificial Intelligence Software,AI Note-Taking Software,/categories/ai-note-taking-software,1011248,Artificial Intelligence Software,0
Artificial Intelligence Software,AI Orchestration Software,/categories/ai-orchestration,1011182,Artificial Intelligence Software,0
Artificial Intelligence Software,AI Proposal Generator Tools Software,/categories/ai-proposal-generator-tools,1014089,Artificial Intelligence Software,0
Artificial Intelligence Software,AI Search Visibility Optimization Tools Software,/categories/ai-search-visibility-optimization-tools,1013395,Artificial Intelligence Software,0
Artificial Intelligence Software,AI Security Posture Management (AI-SPM) Tools Software,/categories/ai-security-posture-management-ai-spm-tools,1012469,Artificial Intelligence Software,0
Artificial Intelligence Software,AI Security Solutions Software,/categories/ai-security-solutions,1012436,Artificial Intelligence Software,0
Artificial Intelligence Software,AI Storyboard Generators Software,/categories/ai-storyboard-generators,1010719,Artificial Intelligence Software,0
Artificial Intelligence Software,AI Voice Assistants,/categories/ai-voice-assistants,1010753,Artificial Intelligence Software,0
Artificial Intelligence Software,AI Voice Dictation,/categories/ai-voice-dictation,1012040,Artificial Intelligence Software,0
Artificial Intelligence Software,AI Writing Assistants,/categories/ai-writing-assistant,1586,Artificial Intelligence Software,0
Artificial Intelligence Software,Answer Engine Optimization (AEO) Tools,/categories/answer-engine-optimization-aeo,1010585,Artificial Intelligence Software,0
Artificial Intelligence Software,Conversational AI Survey Platforms,/categories/conversational-ai-survey-platforms,1010984,Artificial Intelligence Software,0
Artificial Intelligence Software,Conversational Intelligence Software,/categories/conversational-intelligence,1524,Artificial Intelligence Software,0
Artificial Intelligence Software,Bot Platforms,/categories/bot-platforms,1035,Conversational Intelligence Software,1
Artificial Intelligence Software,Chatbots Software,/categories/chatbots,1250,Conversational Intelligence Software,1
Artificial Intelligence Software,Natural Language Processing (NLP) Software,/categories/natural-language-processing-nlp,687,Conversational Intelligence Software,1
Artificial Intelligence Software,Natural Language Generation (NLG) Software,/categories/natural-language-generation-nlg,1077,Natural Language Processing (NLP) Software,1
Artificial Intelligence Software,Natural Language Processing (NLP) Platforms Software,/categories/natural-language-processing-nlp-platforms,1010188,Natural Language Processing (NLP) Software,1
Artificial Intelligence Software,Natural Language Understanding (NLU) Software,/categories/natural-language-understanding-nlu,2270,Natural Language Processing (NLP) Software,1
Artificial Intelligence Software,Data Labeling Software,/categories/data-labeling,2361,Artificial Intelligence Software,0
Artificial Intelligence Software,Data Modeling,/categories/data-modeling,1012304,Artificial Intelligence Software,0
Artificial Intelligence Software,Data Science and Machine Learning Platforms,/categories/data-science-and-machine-learning-platforms,692,Artificial Intelligence Software,0
Artificial Intelligence Software,Deep Learning Software,/categories/deep-learning,685,Artificial Intelligence Software,0
Artificial Intelligence Software,Artificial Neural Network Software,/categories/artificial-neural-network,686,Deep Learning Software,1
Artificial Intelligence Software,Image Recognition Software,/categories/image-recognition,690,Deep Learning Software,1
Artificial Intelligence Software,Voice Recognition Software,/categories/voice-recognition,406,Deep Learning Software,1
Artificial Intelligence Software,Emerging AI Software,/categories/emerging-ai-software,1010485,Artificial Intelligence Software,0
Artificial Intelligence Software,Emotion AI Software,/categories/emotion-ai,1010320,Artificial Intelligence Software,0
Artificial Intelligence Software,Enterprise AI Chatbots Software,/categories/enterprise-ai-chatbots,1014122,Artificial Intelligence Software,0
Artificial Intelligence Software,Generative AI Software,/categories/generative-ai,1005492,Artificial Intelligence Software,0
Artificial Intelligence Software,AI App Builder Software,/categories/ai-app-builder,1010885,Generative AI Software,1
Artificial Intelligence Software,AI AppSec Assistants,/categories/ai-appsec-assistants,1012568,Generative AI Software,1
Artificial Intelligence Software,AI Chatbots Software,/categories/ai-chatbots,1005856,Generative AI Software,1
Artificial Intelligence Software,AI Code Generation Software,/categories/ai-code-generation,1005889,Generative AI Software,1
Artificial Intelligence Software,AI Coding Assistants Software,/categories/ai-coding-assistants,1010786,Generative AI Software,1
Artificial Intelligence Software,AI Content Creation Platforms Software,/categories/ai-content-creation-platforms,1009262,Generative AI Software,1
Artificial Intelligence Software,AI Image Generators Software,/categories/ai-image-generators,1006219,Generative AI Software,1
