branch,name,slug_short,slug,cid,parent,nest,verdict,clause,reason
Artificial Intelligence Software,AI Marketing Agents Software,ai-marketing-agents,/categories/ai-marketing-agents,1014023,AI Agents,1,IN,IN-clause,Orchestrates outbound sequences to stored contacts across channels.
Artificial Intelligence Software,Conversational Interface Agents Software,conversational-interface-agents,/categories/conversational-interface-agents,1013461,AI Agents,1,BOUNDARY,"IN-clause, direction disputed",Predominantly inbound response; outbound/triggered capability exists in part of each category.
Artificial Intelligence Software,Conversational AI Survey Platforms,conversational-ai-survey-platforms,/categories/conversational-ai-survey-platforms,1010984,Artificial Intelligence Software,0,OUT,OUT — not outbound orchestration,"Partner, reputation, feedback, content-production or planning functions; no orchestration of communication to stored customer records."
Artificial Intelligence Software,Conversational Intelligence Software,conversational-intelligence,/categories/conversational-intelligence,1524,Artificial Intelligence Software,0,OUT,OUT-clause 1 — analytics/BI,Measurement without activation.
Artificial Intelligence Software,Bot Platforms,bot-platforms,/categories/bot-platforms,1035,Conversational Intelligence Software,1,BOUNDARY,"IN-clause, direction disputed",Predominantly inbound response; outbound/triggered capability exists in part of each category.
Artificial Intelligence Software,Chatbots Software,chatbots,/categories/chatbots,1250,Conversational Intelligence Software,1,BOUNDARY,"IN-clause, direction disputed",Predominantly inbound response; outbound/triggered capability exists in part of each category.
Artificial Intelligence Software,Enterprise AI Chatbots Software,enterprise-ai-chatbots,/categories/enterprise-ai-chatbots,1014122,Artificial Intelligence Software,0,BOUNDARY,"IN-clause, direction disputed",Predominantly inbound response; outbound/triggered capability exists in part of each category.
Artificial Intelligence Software,AI Chatbots Software,ai-chatbots,/categories/ai-chatbots,1005856,Generative AI Software,1,BOUNDARY,"IN-clause, direction disputed",Predominantly inbound response; outbound/triggered capability exists in part of each category.
Ecosystem Service Providers,DataRobot Consulting Services,datarobot-consulting-services,/categories/datarobot-consulting-services,1008766,Ecosystem Service Providers,0,SERVICES,n/a — not software,"G2 catalogues this as a service provider, not a product. Competitor class 3/4 — see the amendment-2 contradiction in the document."
Sales Tools,CRM Software,crm,/categories/crm,179,Sales Tools,0,BOUNDARY,BOUNDARY case 1 — CRM suite carrying a campaign module,Pipeline CRM is explicitly OUT; the same product may carry campaign orchestration. Undecidable from the category name — needs the source's inclusion criteria.
Sales Tools,Through-Channel Marketing Software,through-channel-marketing,/categories/through-channel-marketing,2098,Partnerships Management,1,IN,IN-clause,Orchestrates outbound sequences to stored contacts across channels.
Sales Tools,Demo Automation Software,demo-automation,/categories/demo-automation,1004926,Presales Software,1,OUT,OUT-clause 2 — sales pipeline,Pipeline or sales-productivity tooling without outbound orchestration.
Sales Tools,Email Tracking Software,email-tracking,/categories/email-tracking,271,Sales Acceleration Software,1,OUT,OUT-clause 2 — sales pipeline,Pipeline or sales-productivity tooling without outbound orchestration.
Sales Tools,Outbound Call Tracking Software,outbound-call-tracking,/categories/outbound-call-tracking,628,Sales Acceleration Software,1,OUT,OUT-clause 2 — sales pipeline,Pipeline or sales-productivity tooling without outbound orchestration.
Sales Tools,Sales Engagement Software,sales-engagement,/categories/sales-engagement,1400,Sales Acceleration Software,1,IN,IN-clause,Orchestrates outbound sequences to stored contacts across channels.
Sales Tools,Salesforce CRM Document Generation Software,salesforce-crm-document-generation,/categories/salesforce-crm-document-generation,1119,Sales Acceleration Software,1,OUT,OUT-clause 2 — sales pipeline,Pipeline or sales-productivity tooling without outbound orchestration.
Marketing Services Providers,Affiliate Marketing Companies,affiliate-marketing-agencies,/categories/affiliate-marketing-agencies,2750,Marketing Services Providers,0,SERVICES,n/a — not software,"G2 catalogues this as a service provider, not a product. Competitor class 3/4 — see the amendment-2 contradiction in the document."
Marketing Services Providers,Amazon Marketing Services Providers,amazon-marketing-services,/categories/amazon-marketing-services,1870,Marketing Services Providers,0,SERVICES,n/a — not software,"G2 catalogues this as a service provider, not a product. Competitor class 3/4 — see the amendment-2 contradiction in the document."
Marketing Services Providers,Inbound Marketing Services,inbound-marketing,/categories/inbound-marketing,779,Marketing Services Providers,0,SERVICES,n/a — not software,"G2 catalogues this as a service provider, not a product. Competitor class 3/4 — see the amendment-2 contradiction in the document."
Marketing Services Providers,Content Marketing Agencies,content-marketing-agencies,/categories/content-marketing-agencies,780,Inbound Marketing Services,1,SERVICES,n/a — not software,"G2 catalogues this as a service provider, not a product. Competitor class 3/4 — see the amendment-2 contradiction in the document."
Marketing Services Providers,Search Engine Marketing (SEM) Agencies,search-engine-marketing-sem,/categories/search-engine-marketing-sem,781,Inbound Marketing Services,1,SERVICES,n/a — not software,"G2 catalogues this as a service provider, not a product. Competitor class 3/4 — see the amendment-2 contradiction in the document."
